# CHAOS-8.1 ionospheric field model
# Extracted on 2024-10-21 10:26:57.470206
#
# NOTE: The format of this file is identical to the AMPS model
# coefficient file, which includes both toroidal and poloidal fields.
# Since the toroidal part is not co-estimated in CHAOS-8, the
# corresponding coefficients are set to zero.
#
# Coefficient unit: nT
# Apex reference height: 110 km
# Earth radius: 6371.2 km
#
# Spherical harmonic degree, order: 65, 3 (for T) and 45, 3 (for V)
#
# column names:
# n m tor_c_const tor_s_const pol_c_const pol_s_const tor_c_sinca tor_s_sinca pol_c_sinca pol_s_sinca tor_c_cosca tor_s_cosca pol_c_cosca pol_s_cosca tor_c_epsilon tor_s_epsilon pol_c_epsilon pol_s_epsilon tor_c_epsilon_sinca tor_s_epsilon_sinca pol_c_epsilon_sinca pol_s_epsilon_sinca tor_c_epsilon_cosca tor_s_epsilon_cosca pol_c_epsilon_cosca pol_s_epsilon_cosca tor_c_tilt tor_s_tilt pol_c_tilt pol_s_tilt tor_c_tilt_sinca tor_s_tilt_sinca pol_c_tilt_sinca pol_s_tilt_sinca tor_c_tilt_cosca tor_s_tilt_cosca pol_c_tilt_cosca pol_s_tilt_cosca tor_c_tilt_epsilon tor_s_tilt_epsilon pol_c_tilt_epsilon pol_s_tilt_epsilon tor_c_tilt_epsilon_sinca tor_s_tilt_epsilon_sinca pol_c_tilt_epsilon_sinca pol_s_tilt_epsilon_sinca tor_c_tilt_epsilon_cosca tor_s_tilt_epsilon_cosca pol_c_tilt_epsilon_cosca pol_s_tilt_epsilon_cosca tor_c_tau tor_s_tau pol_c_tau pol_s_tau tor_c_tau_sinca tor_s_tau_sinca pol_c_tau_sinca pol_s_tau_sinca tor_c_tau_cosca tor_s_tau_cosca pol_c_tau_cosca pol_s_tau_cosca tor_c_tilt_tau tor_s_tilt_tau pol_c_tilt_tau pol_s_tilt_tau tor_c_tilt_tau_sinca tor_s_tilt_tau_sinca pol_c_tilt_tau_sinca pol_s_tilt_tau_sinca tor_c_tilt_tau_cosca tor_s_tilt_tau_cosca pol_c_tilt_tau_cosca pol_s_tilt_tau_cosca tor_c_f107 tor_s_f107 pol_c_f107 pol_s_f107
4  1 0.0000000 0.0000000  0.1725305 -0.0162753 0.0000000 0.0000000 -0.0063902 -0.0273450 0.0000000 0.0000000 -0.0672056 -0.0413655 0.0000000 0.0000000 -0.1598449 -0.0784590 0.0000000 0.0000000  0.0032706  0.0142831 0.0000000 0.0000000 -0.0304696 -0.0155948 0.0000000 0.0000000  0.0050542 -0.0019922 0.0000000 0.0000000 -0.0027965 -0.0026528 0.0000000 0.0000000  0.0020911  0.0012337 0.0000000 0.0000000  0.0012609  0.0000367 0.0000000 0.0000000  0.0018756  0.0006355 0.0000000 0.0000000 -0.0009487 -0.0002807 0.0000000 0.0000000 -0.0323117 -0.0204307 0.0000000 0.0000000  0.0023316  0.0066656 0.0000000 0.0000000 -0.0172958  0.0214324 0.0000000 0.0000000  0.0000832 -0.0000090 0.0000000 0.0000000  0.0003959  0.0009555 0.0000000 0.0000000  0.0000199 -0.0002464 0.0000000 0.0000000  0.0091919  0.0038574
4  2 0.0000000 0.0000000 -0.0026869 -0.0181508 0.0000000 0.0000000  0.0397196  0.0032581 0.0000000 0.0000000 -0.0091471 -0.0122435 0.0000000 0.0000000 -0.0062760  0.0016690 0.0000000 0.0000000 -0.0096137  0.0052956 0.0000000 0.0000000  0.0018043 -0.0035251 0.0000000 0.0000000  0.0099851  0.0069443 0.0000000 0.0000000 -0.0002912  0.0000532 0.0000000 0.0000000 -0.0013426  0.0031249 0.0000000 0.0000000  0.0001583  0.0010156 0.0000000 0.0000000 -0.0003288  0.0001030 0.0000000 0.0000000 -0.0002690 -0.0004129 0.0000000 0.0000000 -0.0012198  0.0078465 0.0000000 0.0000000 -0.0126208 -0.0047504 0.0000000 0.0000000 -0.0002273  0.0020086 0.0000000 0.0000000 -0.0000724  0.0008068 0.0000000 0.0000000  0.0005328  0.0003052 0.0000000 0.0000000  0.0000413 -0.0007035 0.0000000 0.0000000  0.0006244 -0.0002550
4  3 0.0000000 0.0000000 -0.3185745 -0.1010503 0.0000000 0.0000000  0.0108723  0.0318103 0.0000000 0.0000000 -0.0178687 -0.0013168 0.0000000 0.0000000 -0.0003795  0.0074308 0.0000000 0.0000000 -0.0064658 -0.0097042 0.0000000 0.0000000  0.0169455  0.0018022 0.0000000 0.0000000  0.0018249  0.0002043 0.0000000 0.0000000  0.0005081  0.0017379 0.0000000 0.0000000 -0.0019974  0.0002969 0.0000000 0.0000000 -0.0004482  0.0007495 0.0000000 0.0000000 -0.0004554 -0.0005252 0.0000000 0.0000000  0.0007945  0.0009393 0.0000000 0.0000000  0.0032885  0.0105013 0.0000000 0.0000000 -0.0022522 -0.0098297 0.0000000 0.0000000 -0.0011274 -0.0059139 0.0000000 0.0000000  0.0007684 -0.0011604 0.0000000 0.0000000  0.0000637 -0.0001772 0.0000000 0.0000000 -0.0003690  0.0012004 0.0000000 0.0000000 -0.0016534 -0.0003780
5  0 0.0000000       NaN -1.0733975        NaN 0.0000000       NaN  0.0114896        NaN 0.0000000       NaN  0.0145640        NaN 0.0000000       NaN  0.0224220        NaN 0.0000000       NaN  0.0005027        NaN 0.0000000       NaN -0.0020347        NaN 0.0000000       NaN  0.0012252        NaN 0.0000000       NaN  0.0001425        NaN 0.0000000       NaN -0.0014903        NaN 0.0000000       NaN -0.0000587        NaN 0.0000000       NaN  0.0024326        NaN 0.0000000       NaN  0.0002521        NaN 0.0000000       NaN -0.0239359        NaN 0.0000000       NaN  0.0018452        NaN 0.0000000       NaN  0.0107487        NaN 0.0000000       NaN  0.0009988        NaN 0.0000000       NaN  0.0021194        NaN 0.0000000       NaN -0.0007823        NaN 0.0000000       NaN  0.0137717        NaN
5  1 0.0000000 0.0000000  0.0204990 -0.0891298 0.0000000 0.0000000  0.0013966 -0.0186331 0.0000000 0.0000000  0.0015369 -0.0000498 0.0000000 0.0000000  0.0083187  0.0075819 0.0000000 0.0000000  0.0136990  0.0176471 0.0000000 0.0000000 -0.0009926 -0.0064419 0.0000000 0.0000000  0.0017235  0.0015939 0.0000000 0.0000000  0.0004890  0.0002020 0.0000000 0.0000000 -0.0008722  0.0002126 0.0000000 0.0000000 -0.0011391 -0.0019771 0.0000000 0.0000000 -0.0001561  0.0001636 0.0000000 0.0000000  0.0004644 -0.0008159 0.0000000 0.0000000 -0.0123860 -0.0031347 0.0000000 0.0000000 -0.0016135  0.0173927 0.0000000 0.0000000  0.0096938  0.0049670 0.0000000 0.0000000 -0.0006730  0.0001629 0.0000000 0.0000000 -0.0001420  0.0000814 0.0000000 0.0000000  0.0002019  0.0001152 0.0000000 0.0000000  0.0001762 -0.0000344
5  2 0.0000000 0.0000000 -0.1406115 -0.2070956 0.0000000 0.0000000 -0.0048551  0.0123195 0.0000000 0.0000000 -0.0053588  0.0385145 0.0000000 0.0000000  0.0286560  0.0153224 0.0000000 0.0000000 -0.0083458 -0.0058358 0.0000000 0.0000000 -0.0021753 -0.0147335 0.0000000 0.0000000  0.0032112 -0.0013528 0.0000000 0.0000000  0.0008931  0.0020251 0.0000000 0.0000000 -0.0004846 -0.0010228 0.0000000 0.0000000 -0.0000661  0.0003040 0.0000000 0.0000000 -0.0004719  0.0002455 0.0000000 0.0000000  0.0007381  0.0008797 0.0000000 0.0000000 -0.0036049  0.0104854 0.0000000 0.0000000  0.0046019  0.0012382 0.0000000 0.0000000  0.0111255 -0.0093900 0.0000000 0.0000000  0.0005479 -0.0008959 0.0000000 0.0000000 -0.0002041 -0.0006828 0.0000000 0.0000000 -0.0004925  0.0009251 0.0000000 0.0000000 -0.0020641  0.0005238
5  3 0.0000000 0.0000000 -0.0240088  0.0540031 0.0000000 0.0000000 -0.0188634  0.0054197 0.0000000 0.0000000 -0.0279796  0.0129659 0.0000000 0.0000000 -0.0001402 -0.0014416 0.0000000 0.0000000  0.0055394 -0.0047320 0.0000000 0.0000000  0.0111434  0.0038373 0.0000000 0.0000000 -0.0017988  0.0004891 0.0000000 0.0000000 -0.0002946 -0.0011656 0.0000000 0.0000000  0.0014176 -0.0005153 0.0000000 0.0000000  0.0002918 -0.0001529 0.0000000 0.0000000  0.0003662  0.0001293 0.0000000 0.0000000  0.0000067 -0.0001732 0.0000000 0.0000000 -0.0026371 -0.0108771 0.0000000 0.0000000  0.0081064  0.0001689 0.0000000 0.0000000  0.0057378  0.0050036 0.0000000 0.0000000  0.0000950 -0.0000199 0.0000000 0.0000000 -0.0002025  0.0000580 0.0000000 0.0000000  0.0000766  0.0000256 0.0000000 0.0000000 -0.0001791 -0.0000789
6  0 0.0000000       NaN -0.2445036        NaN 0.0000000       NaN  0.0225267        NaN 0.0000000       NaN  0.0203408        NaN 0.0000000       NaN  0.0148487        NaN 0.0000000       NaN  0.0383865        NaN 0.0000000       NaN -0.0054226        NaN 0.0000000       NaN  0.0161447        NaN 0.0000000       NaN  0.0017829        NaN 0.0000000       NaN  0.0006546        NaN 0.0000000       NaN  0.0023309        NaN 0.0000000       NaN -0.0001007        NaN 0.0000000       NaN  0.0012036        NaN 0.0000000       NaN  0.0066408        NaN 0.0000000       NaN  0.0347471        NaN 0.0000000       NaN -0.0036986        NaN 0.0000000       NaN -0.0006733        NaN 0.0000000       NaN -0.0001489        NaN 0.0000000       NaN  0.0008477        NaN 0.0000000       NaN  0.0018006        NaN
6  1 0.0000000 0.0000000 -0.1721727  0.0734391 0.0000000 0.0000000 -0.0124984 -0.0178260 0.0000000 0.0000000 -0.0566329 -0.0778458 0.0000000 0.0000000 -0.0932877 -0.1539782 0.0000000 0.0000000 -0.0046868  0.0079284 0.0000000 0.0000000 -0.0130601 -0.0318752 0.0000000 0.0000000  0.0030629 -0.0043033 0.0000000 0.0000000  0.0006612  0.0000245 0.0000000 0.0000000  0.0020149  0.0014076 0.0000000 0.0000000  0.0004954  0.0002117 0.0000000 0.0000000  0.0006627  0.0007514 0.0000000 0.0000000 -0.0000005 -0.0005395 0.0000000 0.0000000  0.0110830 -0.0060275 0.0000000 0.0000000  0.0022478  0.0044638 0.0000000 0.0000000 -0.0072969  0.0015778 0.0000000 0.0000000 -0.0001771 -0.0002247 0.0000000 0.0000000  0.0005666  0.0004852 0.0000000 0.0000000 -0.0000592  0.0002800 0.0000000 0.0000000 -0.0015719 -0.0014872
6  2 0.0000000 0.0000000  0.0559595  0.0401646 0.0000000 0.0000000  0.0130392 -0.0031999 0.0000000 0.0000000  0.0176476 -0.0078654 0.0000000 0.0000000  0.0065672 -0.0087275 0.0000000 0.0000000 -0.0052299  0.0063539 0.0000000 0.0000000  0.0007384  0.0074819 0.0000000 0.0000000  0.0002074 -0.0013614 0.0000000 0.0000000 -0.0009740 -0.0002305 0.0000000 0.0000000  0.0005664  0.0007290 0.0000000 0.0000000  0.0005645  0.0003358 0.0000000 0.0000000 -0.0000334  0.0000543 0.0000000 0.0000000 -0.0006122 -0.0009313 0.0000000 0.0000000  0.0042768 -0.0011454 0.0000000 0.0000000  0.0022558 -0.0043108 0.0000000 0.0000000 -0.0031150 -0.0014393 0.0000000 0.0000000  0.0002233 -0.0000438 0.0000000 0.0000000  0.0002761 -0.0000643 0.0000000 0.0000000 -0.0000942 -0.0001331 0.0000000 0.0000000 -0.0005817 -0.0001546
