# CHAOS-8.1 ionospheric field model
# Extracted on 2024-10-21 10:26:57.470206
#
# NOTE: The format of this file is identical to the AMPS model
# coefficient file, which includes both toroidal and poloidal fields.
# Since the toroidal part is not co-estimated in CHAOS-8, the
# corresponding coefficients are set to zero.
#
# Coefficient unit: nT
# Apex reference height: 110 km
# Earth radius: 6371.2 km
#
# Spherical harmonic degree, order: 65, 3 (for T) and 45, 3 (for V)
#
# column names:
# n m tor_c_const tor_s_const pol_c_const pol_s_const tor_c_sinca tor_s_sinca pol_c_sinca pol_s_sinca tor_c_cosca tor_s_cosca pol_c_cosca pol_s_cosca tor_c_epsilon tor_s_epsilon pol_c_epsilon pol_s_epsilon tor_c_epsilon_sinca tor_s_epsilon_sinca pol_c_epsilon_sinca pol_s_epsilon_sinca tor_c_epsilon_cosca tor_s_epsilon_cosca pol_c_epsilon_cosca pol_s_epsilon_cosca tor_c_tilt tor_s_tilt pol_c_tilt pol_s_tilt tor_c_tilt_sinca tor_s_tilt_sinca pol_c_tilt_sinca pol_s_tilt_sinca tor_c_tilt_cosca tor_s_tilt_cosca pol_c_tilt_cosca pol_s_tilt_cosca tor_c_tilt_epsilon tor_s_tilt_epsilon pol_c_tilt_epsilon pol_s_tilt_epsilon tor_c_tilt_epsilon_sinca tor_s_tilt_epsilon_sinca pol_c_tilt_epsilon_sinca pol_s_tilt_epsilon_sinca tor_c_tilt_epsilon_cosca tor_s_tilt_epsilon_cosca pol_c_tilt_epsilon_cosca pol_s_tilt_epsilon_cosca tor_c_tau tor_s_tau pol_c_tau pol_s_tau tor_c_tau_sinca tor_s_tau_sinca pol_c_tau_sinca pol_s_tau_sinca tor_c_tau_cosca tor_s_tau_cosca pol_c_tau_cosca pol_s_tau_cosca tor_c_tilt_tau tor_s_tilt_tau pol_c_tilt_tau pol_s_tilt_tau tor_c_tilt_tau_sinca tor_s_tilt_tau_sinca pol_c_tilt_tau_sinca pol_s_tilt_tau_sinca tor_c_tilt_tau_cosca tor_s_tilt_tau_cosca pol_c_tilt_tau_cosca pol_s_tilt_tau_cosca tor_c_f107 tor_s_f107 pol_c_f107 pol_s_f107
16 2 0.0000000 0.0000000  0.0204410  0.0084823 0.0000000 0.0000000  0.0085110  0.0150081 0.0000000 0.0000000 -0.0161728  0.0014631 0.0000000 0.0000000 -0.0019740  0.0009226 0.0000000 0.0000000 -0.0155392 -0.0019296 0.0000000 0.0000000  0.0116697  0.0039336 0.0000000 0.0000000 -0.0002502 -0.0003523 0.0000000 0.0000000 -0.0008306  0.0007904 0.0000000 0.0000000 -0.0002562  0.0011327 0.0000000 0.0000000  0.0002651  0.0020938 0.0000000 0.0000000  0.0000375 -0.0002415 0.0000000 0.0000000  0.0003955 -0.0000196 0.0000000 0.0000000 -0.0006371  0.0037409 0.0000000 0.0000000  0.0018833 -0.0059562 0.0000000 0.0000000  0.0025846 -0.0054558 0.0000000 0.0000000 -0.0001452 -0.0004921 0.0000000 0.0000000  0.0001298 -0.0001950 0.0000000 0.0000000  0.0000628 -0.0000628 0.0000000 0.0000000 -0.0000434  0.0000779
16 3 0.0000000 0.0000000 -0.0829025  0.0109474 0.0000000 0.0000000 -0.0004283  0.0088816 0.0000000 0.0000000 -0.0105970 -0.0254018 0.0000000 0.0000000 -0.0031564 -0.0032387 0.0000000 0.0000000 -0.0028815 -0.0028157 0.0000000 0.0000000  0.0069524  0.0102920 0.0000000 0.0000000  0.0006124 -0.0000040 0.0000000 0.0000000 -0.0001497  0.0004475 0.0000000 0.0000000 -0.0006530  0.0002302 0.0000000 0.0000000 -0.0000615 -0.0001314 0.0000000 0.0000000  0.0000732 -0.0002479 0.0000000 0.0000000  0.0002533 -0.0002535 0.0000000 0.0000000  0.0009541 -0.0069776 0.0000000 0.0000000  0.0013801 -0.0005345 0.0000000 0.0000000  0.0021388  0.0195072 0.0000000 0.0000000  0.0001097 -0.0001562 0.0000000 0.0000000 -0.0000110  0.0000589 0.0000000 0.0000000 -0.0000548  0.0000596 0.0000000 0.0000000  0.0000508  0.0001027
17 0 0.0000000       NaN  0.4135221        NaN 0.0000000       NaN  0.0144872        NaN 0.0000000       NaN -0.0223043        NaN 0.0000000       NaN -0.0276056        NaN 0.0000000       NaN -0.0010959        NaN 0.0000000       NaN -0.0134371        NaN 0.0000000       NaN -0.0012280        NaN 0.0000000       NaN -0.0003626        NaN 0.0000000       NaN  0.0006230        NaN 0.0000000       NaN  0.0001697        NaN 0.0000000       NaN  0.0027308        NaN 0.0000000       NaN  0.0001567        NaN 0.0000000       NaN -0.0210786        NaN 0.0000000       NaN  0.0038125        NaN 0.0000000       NaN  0.0020026        NaN 0.0000000       NaN -0.0000275        NaN 0.0000000       NaN  0.0028193        NaN 0.0000000       NaN -0.0000035        NaN 0.0000000       NaN -0.0000913        NaN
17 1 0.0000000 0.0000000  0.0056158 -0.0291105 0.0000000 0.0000000  0.0675810 -0.0275991 0.0000000 0.0000000 -0.0047332 -0.0073474 0.0000000 0.0000000  0.0032184  0.0004372 0.0000000 0.0000000 -0.0535694  0.0158393 0.0000000 0.0000000  0.0040338 -0.0130550 0.0000000 0.0000000  0.0002142 -0.0048569 0.0000000 0.0000000 -0.0002908  0.0002137 0.0000000 0.0000000  0.0005647 -0.0016183 0.0000000 0.0000000  0.0006404  0.0010095 0.0000000 0.0000000 -0.0002334  0.0002797 0.0000000 0.0000000  0.0004132  0.0012738 0.0000000 0.0000000 -0.0078426 -0.0009806 0.0000000 0.0000000 -0.0357781  0.0219949 0.0000000 0.0000000  0.0058704  0.0007844 0.0000000 0.0000000 -0.0000949  0.0002587 0.0000000 0.0000000  0.0000285  0.0000302 0.0000000 0.0000000  0.0004916  0.0014106 0.0000000 0.0000000  0.0001756  0.0001349
17 2 0.0000000 0.0000000 -0.0666951  0.0062344 0.0000000 0.0000000 -0.0116233  0.0160367 0.0000000 0.0000000  0.0309202  0.0691418 0.0000000 0.0000000  0.0476805  0.1088559 0.0000000 0.0000000 -0.0016205 -0.0043381 0.0000000 0.0000000  0.0043670  0.0083761 0.0000000 0.0000000  0.0017547 -0.0006224 0.0000000 0.0000000  0.0005702  0.0002276 0.0000000 0.0000000 -0.0000932  0.0001161 0.0000000 0.0000000 -0.0003327  0.0000611 0.0000000 0.0000000 -0.0011194  0.0002862 0.0000000 0.0000000  0.0000187  0.0003278 0.0000000 0.0000000 -0.0114931 -0.0241094 0.0000000 0.0000000  0.0016480 -0.0017778 0.0000000 0.0000000  0.0072311  0.0115574 0.0000000 0.0000000  0.0000315 -0.0004043 0.0000000 0.0000000 -0.0003345 -0.0002394 0.0000000 0.0000000 -0.0001048  0.0002559 0.0000000 0.0000000 -0.0008719  0.0000967
17 3 0.0000000 0.0000000 -0.0123644 -0.0155151 0.0000000 0.0000000 -0.0154248  0.0104631 0.0000000 0.0000000 -0.0013962  0.0135712 0.0000000 0.0000000  0.0019989  0.0021734 0.0000000 0.0000000  0.0040600 -0.0038824 0.0000000 0.0000000  0.0026124 -0.0054096 0.0000000 0.0000000  0.0011953  0.0009649 0.0000000 0.0000000  0.0010508  0.0011098 0.0000000 0.0000000 -0.0004876 -0.0016320 0.0000000 0.0000000 -0.0004416 -0.0000212 0.0000000 0.0000000 -0.0002656 -0.0004272 0.0000000 0.0000000 -0.0000646  0.0009611 0.0000000 0.0000000 -0.0003816  0.0021179 0.0000000 0.0000000  0.0011718  0.0042378 0.0000000 0.0000000  0.0004775 -0.0009178 0.0000000 0.0000000  0.0001038 -0.0004260 0.0000000 0.0000000 -0.0001143 -0.0001124 0.0000000 0.0000000 -0.0001516  0.0008219 0.0000000 0.0000000  0.0000304  0.0001229
18 0 0.0000000       NaN  0.1656359        NaN 0.0000000       NaN  0.0176391        NaN 0.0000000       NaN -0.0136799        NaN 0.0000000       NaN -0.0041358        NaN 0.0000000       NaN  0.0481374        NaN 0.0000000       NaN  0.0047438        NaN 0.0000000       NaN -0.0000398        NaN 0.0000000       NaN  0.0005003        NaN 0.0000000       NaN -0.0004556        NaN 0.0000000       NaN -0.0008451        NaN 0.0000000       NaN -0.0000489        NaN 0.0000000       NaN -0.0005306        NaN 0.0000000       NaN -0.0035427        NaN 0.0000000       NaN  0.0474143        NaN 0.0000000       NaN  0.0031436        NaN 0.0000000       NaN -0.0006004        NaN 0.0000000       NaN  0.0001166        NaN 0.0000000       NaN -0.0000881        NaN 0.0000000       NaN -0.0000534        NaN
18 1 0.0000000 0.0000000 -0.0597313 -0.1416572 0.0000000 0.0000000 -0.0104964  0.0088338 0.0000000 0.0000000  0.0100446 -0.0030821 0.0000000 0.0000000  0.0448353  0.0962953 0.0000000 0.0000000 -0.0021541  0.0033206 0.0000000 0.0000000  0.0210953  0.0466437 0.0000000 0.0000000  0.0012630  0.0000426 0.0000000 0.0000000  0.0025243 -0.0002982 0.0000000 0.0000000 -0.0008006 -0.0008320 0.0000000 0.0000000 -0.0004628 -0.0001763 0.0000000 0.0000000 -0.0021829  0.0002911 0.0000000 0.0000000 -0.0000338 -0.0004240 0.0000000 0.0000000 -0.0005704  0.0128151 0.0000000 0.0000000  0.0000406 -0.0002802 0.0000000 0.0000000  0.0176516  0.0386321 0.0000000 0.0000000 -0.0000838 -0.0002520 0.0000000 0.0000000 -0.0017267  0.0005271 0.0000000 0.0000000  0.0000821  0.0002831 0.0000000 0.0000000 -0.0009846  0.0001238
18 2 0.0000000 0.0000000  0.0145737  0.0145370 0.0000000 0.0000000 -0.0092515  0.0018563 0.0000000 0.0000000 -0.0258196  0.0037756 0.0000000 0.0000000 -0.0080762 -0.0003442 0.0000000 0.0000000 -0.0051586 -0.0007335 0.0000000 0.0000000  0.0091907  0.0027808 0.0000000 0.0000000 -0.0003048  0.0021757 0.0000000 0.0000000 -0.0005900  0.0003717 0.0000000 0.0000000  0.0006166  0.0016830 0.0000000 0.0000000  0.0005155  0.0019387 0.0000000 0.0000000 -0.0000589 -0.0001775 0.0000000 0.0000000  0.0003562  0.0000978 0.0000000 0.0000000 -0.0002882  0.0054602 0.0000000 0.0000000  0.0068660 -0.0048601 0.0000000 0.0000000  0.0035683 -0.0065817 0.0000000 0.0000000  0.0000259 -0.0005533 0.0000000 0.0000000  0.0001510 -0.0000737 0.0000000 0.0000000 -0.0001254 -0.0004445 0.0000000 0.0000000 -0.0001030 -0.0000917
18 3 0.0000000 0.0000000  0.0183785 -0.0338833 0.0000000 0.0000000  0.0072530  0.0053481 0.0000000 0.0000000 -0.0112404 -0.0350782 0.0000000 0.0000000 -0.0035298 -0.0025421 0.0000000 0.0000000  0.0007046 -0.0000891 0.0000000 0.0000000  0.0005255  0.0157125 0.0000000 0.0000000 -0.0010273  0.0002151 0.0000000 0.0000000  0.0001112  0.0003054 0.0000000 0.0000000 -0.0004606  0.0003684 0.0000000 0.0000000 -0.0001701 -0.0002227 0.0000000 0.0000000 -0.0000069 -0.0004312 0.0000000 0.0000000 -0.0001131 -0.0002917 0.0000000 0.0000000  0.0004800 -0.0032795 0.0000000 0.0000000 -0.0010482 -0.0004393 0.0000000 0.0000000  0.0035003  0.0197289 0.0000000 0.0000000  0.0003029  0.0002866 0.0000000 0.0000000 -0.0000218  0.0001594 0.0000000 0.0000000 -0.0001904 -0.0002732 0.0000000 0.0000000  0.0000561  0.0002022
19 0 0.0000000       NaN  0.2228324        NaN 0.0000000       NaN -0.0007204        NaN 0.0000000       NaN -0.0522694        NaN 0.0000000       NaN -0.0244225        NaN 0.0000000       NaN  0.0019641        NaN 0.0000000       NaN -0.0003768        NaN 0.0000000       NaN  0.0007214        NaN 0.0000000       NaN -0.0001704        NaN 0.0000000       NaN  0.0003532        NaN 0.0000000       NaN -0.0001100        NaN 0.0000000       NaN  0.0024114        NaN 0.0000000       NaN  0.0000209        NaN 0.0000000       NaN -0.0168285        NaN 0.0000000       NaN  0.0021184        NaN 0.0000000       NaN  0.0101442        NaN 0.0000000       NaN -0.0001975        NaN 0.0000000       NaN  0.0022401        NaN 0.0000000       NaN  0.0000703        NaN 0.0000000       NaN -0.0019575        NaN
19 1 0.0000000 0.0000000 -0.0075893 -0.0256410 0.0000000 0.0000000  0.0602738 -0.0175173 0.0000000 0.0000000 -0.0131515  0.0014793 0.0000000 0.0000000 -0.0011609  0.0067788 0.0000000 0.0000000 -0.0620841  0.0101194 0.0000000 0.0000000  0.0029997 -0.0096372 0.0000000 0.0000000  0.0011042 -0.0006345 0.0000000 0.0000000 -0.0005166 -0.0000761 0.0000000 0.0000000  0.0000184 -0.0013507 0.0000000 0.0000000  0.0000697  0.0017087 0.0000000 0.0000000 -0.0001988  0.0001841 0.0000000 0.0000000  0.0000851  0.0013300 0.0000000 0.0000000 -0.0061973  0.0003953 0.0000000 0.0000000 -0.0403594  0.0181625 0.0000000 0.0000000  0.0068342  0.0011075 0.0000000 0.0000000  0.0000902  0.0002682 0.0000000 0.0000000  0.0001621  0.0000811 0.0000000 0.0000000  0.0002669  0.0013627 0.0000000 0.0000000 -0.0000661  0.0001275
19 2 0.0000000 0.0000000  0.0618226  0.0240451 0.0000000 0.0000000  0.0050318  0.0151134 0.0000000 0.0000000  0.0492404  0.0738565 0.0000000 0.0000000  0.0526433  0.1008175 0.0000000 0.0000000  0.0010335 -0.0044614 0.0000000 0.0000000  0.0002336  0.0113025 0.0000000 0.0000000 -0.0012592  0.0007076 0.0000000 0.0000000 -0.0001475 -0.0006459 0.0000000 0.0000000 -0.0001274 -0.0003102 0.0000000 0.0000000 -0.0003655 -0.0001722 0.0000000 0.0000000 -0.0010293  0.0001209 0.0000000 0.0000000 -0.0002506  0.0003749 0.0000000 0.0000000 -0.0068957 -0.0154773 0.0000000 0.0000000 -0.0002423 -0.0021432 0.0000000 0.0000000  0.0015695 -0.0076898 0.0000000 0.0000000  0.0002296  0.0001214 0.0000000 0.0000000 -0.0002549 -0.0000814 0.0000000 0.0000000 -0.0001490 -0.0002002 0.0000000 0.0000000  0.0003285  0.0005931
19 3 0.0000000 0.0000000 -0.0105606 -0.0055487 0.0000000 0.0000000 -0.0074765  0.0085208 0.0000000 0.0000000 -0.0006579 -0.0088888 0.0000000 0.0000000  0.0003579 -0.0028842 0.0000000 0.0000000  0.0024969 -0.0058414 0.0000000 0.0000000 -0.0000754 -0.0002127 0.0000000 0.0000000  0.0011765  0.0016147 0.0000000 0.0000000  0.0003319  0.0008105 0.0000000 0.0000000 -0.0003370 -0.0018655 0.0000000 0.0000000 -0.0003027 -0.0001150 0.0000000 0.0000000 -0.0000269 -0.0002709 0.0000000 0.0000000  0.0000902  0.0010103 0.0000000 0.0000000  0.0059262 -0.0002303 0.0000000 0.0000000  0.0013351  0.0057878 0.0000000 0.0000000 -0.0052342  0.0022276 0.0000000 0.0000000  0.0002168 -0.0002258 0.0000000 0.0000000 -0.0000186 -0.0000794 0.0000000 0.0000000 -0.0002275  0.0007396 0.0000000 0.0000000  0.0000526  0.0001151
20 0 0.0000000       NaN  0.1249407        NaN 0.0000000       NaN  0.0193847        NaN 0.0000000       NaN -0.0235637        NaN 0.0000000       NaN -0.0068936        NaN 0.0000000       NaN  0.0256658        NaN 0.0000000       NaN  0.0081232        NaN 0.0000000       NaN -0.0018636        NaN 0.0000000       NaN  0.0004658        NaN 0.0000000       NaN -0.0004828        NaN 0.0000000       NaN -0.0008919        NaN 0.0000000       NaN -0.0001631        NaN 0.0000000       NaN -0.0005764        NaN 0.0000000       NaN -0.0062234        NaN 0.0000000       NaN  0.0335459        NaN 0.0000000       NaN  0.0071103        NaN 0.0000000       NaN -0.0005672        NaN 0.0000000       NaN  0.0001323        NaN 0.0000000       NaN  0.0000103        NaN 0.0000000       NaN -0.0001053        NaN
20 1 0.0000000 0.0000000  0.0257421 -0.0876921 0.0000000 0.0000000  0.0084999  0.0131011 0.0000000 0.0000000  0.0522351  0.0003279 0.0000000 0.0000000  0.0505369  0.1099726 0.0000000 0.0000000 -0.0065166  0.0021034 0.0000000 0.0000000  0.0016643  0.0346869 0.0000000 0.0000000 -0.0020361  0.0002880 0.0000000 0.0000000  0.0022028 -0.0004616 0.0000000 0.0000000 -0.0000611 -0.0010021 0.0000000 0.0000000  0.0001147 -0.0000360 0.0000000 0.0000000 -0.0029686  0.0001253 0.0000000 0.0000000 -0.0000600 -0.0001660 0.0000000 0.0000000  0.0101762  0.0171481 0.0000000 0.0000000  0.0011389 -0.0009405 0.0000000 0.0000000  0.0028011  0.0263387 0.0000000 0.0000000 -0.0000955  0.0001645 0.0000000 0.0000000 -0.0020373  0.0004509 0.0000000 0.0000000  0.0002655  0.0000370 0.0000000 0.0000000  0.0016791  0.0009801
20 2 0.0000000 0.0000000  0.0146274  0.0020373 0.0000000 0.0000000 -0.0075153  0.0035278 0.0000000 0.0000000 -0.0185445 -0.0034244 0.0000000 0.0000000 -0.0101560 -0.0048102 0.0000000 0.0000000 -0.0032729 -0.0038847 0.0000000 0.0000000  0.0032762  0.0041155 0.0000000 0.0000000 -0.0003838  0.0036520 0.0000000 0.0000000 -0.0008152  0.0007263 0.0000000 0.0000000  0.0013480  0.0019785 0.0000000 0.0000000  0.0009856  0.0015533 0.0000000 0.0000000  0.0001505 -0.0001902 0.0000000 0.0000000  0.0006245  0.0000437 0.0000000 0.0000000  0.0038088  0.0032321 0.0000000 0.0000000  0.0080747 -0.0070084 0.0000000 0.0000000 -0.0022455 -0.0052354 0.0000000 0.0000000  0.0000887 -0.0003547 0.0000000 0.0000000  0.0001866 -0.0001831 0.0000000 0.0000000 -0.0001883 -0.0009381 0.0000000 0.0000000  0.0000384  0.0000956
20 3 0.0000000 0.0000000 -0.0631973  0.0309969 0.0000000 0.0000000 -0.0082989  0.0080734 0.0000000 0.0000000 -0.0110140 -0.0360046 0.0000000 0.0000000 -0.0037733  0.0013788 0.0000000 0.0000000  0.0003493 -0.0017157 0.0000000 0.0000000  0.0076392  0.0218734 0.0000000 0.0000000  0.0005008 -0.0004775 0.0000000 0.0000000  0.0001499  0.0006269 0.0000000 0.0000000 -0.0006614 -0.0000437 0.0000000 0.0000000  0.0000655 -0.0001297 0.0000000 0.0000000  0.0001554 -0.0004850 0.0000000 0.0000000  0.0000932 -0.0001867 0.0000000 0.0000000  0.0030208  0.0016237 0.0000000 0.0000000  0.0040507  0.0000087 0.0000000 0.0000000  0.0019122  0.0173275 0.0000000 0.0000000 -0.0000052 -0.0001821 0.0000000 0.0000000  0.0000365  0.0000377 0.0000000 0.0000000  0.0000628  0.0002119 0.0000000 0.0000000  0.0000804  0.0001531
21 0 0.0000000       NaN  0.2186319        NaN 0.0000000       NaN  0.0110337        NaN 0.0000000       NaN -0.0054865        NaN 0.0000000       NaN -0.0054019        NaN 0.0000000       NaN -0.0025252        NaN 0.0000000       NaN -0.0075545        NaN 0.0000000       NaN -0.0005542        NaN 0.0000000       NaN  0.0004540        NaN 0.0000000       NaN -0.0005774        NaN 0.0000000       NaN  0.0001828        NaN 0.0000000       NaN  0.0013745        NaN 0.0000000       NaN  0.0005262        NaN 0.0000000       NaN -0.0057512        NaN 0.0000000       NaN  0.0017120        NaN 0.0000000       NaN  0.0063909        NaN 0.0000000       NaN -0.0004650        NaN 0.0000000       NaN  0.0017601        NaN 0.0000000       NaN  0.0005045        NaN 0.0000000       NaN  0.0006583        NaN
21 1 0.0000000 0.0000000 -0.0327834 -0.0112024 0.0000000 0.0000000  0.0579500  0.0109599 0.0000000 0.0000000  0.0184854  0.0021838 0.0000000 0.0000000  0.0067970  0.0086225 0.0000000 0.0000000 -0.0706829 -0.0002879 0.0000000 0.0000000 -0.0061959 -0.0039758 0.0000000 0.0000000  0.0008772  0.0029775 0.0000000 0.0000000 -0.0003713 -0.0001320 0.0000000 0.0000000  0.0005137 -0.0017035 0.0000000 0.0000000 -0.0000784  0.0017047 0.0000000 0.0000000 -0.0000585  0.0001484 0.0000000 0.0000000 -0.0001871  0.0010822 0.0000000 0.0000000 -0.0013057  0.0001620 0.0000000 0.0000000 -0.0502558  0.0081183 0.0000000 0.0000000  0.0005460  0.0024838 0.0000000 0.0000000  0.0002510  0.0004869 0.0000000 0.0000000  0.0000440  0.0000755 0.0000000 0.0000000  0.0000403  0.0010225 0.0000000 0.0000000  0.0002593  0.0001092
21 2 0.0000000 0.0000000  0.0076190  0.2420760 0.0000000 0.0000000 -0.0060455  0.0178416 0.0000000 0.0000000  0.0235548  0.0337117 0.0000000 0.0000000  0.0397737  0.0733639 0.0000000 0.0000000 -0.0007623 -0.0078909 0.0000000 0.0000000  0.0180646  0.0256922 0.0000000 0.0000000  0.0011175 -0.0002522 0.0000000 0.0000000 -0.0006099  0.0004184 0.0000000 0.0000000 -0.0007555 -0.0007173 0.0000000 0.0000000 -0.0003909  0.0000579 0.0000000 0.0000000 -0.0005072 -0.0001456 0.0000000 0.0000000 -0.0000211  0.0006574 0.0000000 0.0000000 -0.0053348 -0.0154494 0.0000000 0.0000000  0.0025746 -0.0011325 0.0000000 0.0000000 -0.0003337 -0.0164579 0.0000000 0.0000000 -0.0000420 -0.0003023 0.0000000 0.0000000 -0.0002230 -0.0004341 0.0000000 0.0000000  0.0001014  0.0002460 0.0000000 0.0000000 -0.0011319 -0.0005933
21 3 0.0000000 0.0000000 -0.0202373  0.0004431 0.0000000 0.0000000 -0.0056682 -0.0022684 0.0000000 0.0000000 -0.0005779 -0.0124509 0.0000000 0.0000000 -0.0017097 -0.0027855 0.0000000 0.0000000  0.0083187 -0.0055020 0.0000000 0.0000000 -0.0013671 -0.0007752 0.0000000 0.0000000  0.0008296  0.0022148 0.0000000 0.0000000  0.0009359  0.0003764 0.0000000 0.0000000 -0.0002886 -0.0021331 0.0000000 0.0000000 -0.0001091 -0.0003322 0.0000000 0.0000000 -0.0000724 -0.0001709 0.0000000 0.0000000  0.0000124  0.0010298 0.0000000 0.0000000  0.0060192 -0.0012837 0.0000000 0.0000000  0.0030706  0.0074713 0.0000000 0.0000000 -0.0054752  0.0046831 0.0000000 0.0000000  0.0001530 -0.0001138 0.0000000 0.0000000 -0.0001193  0.0000273 0.0000000 0.0000000 -0.0001130  0.0007343 0.0000000 0.0000000  0.0000521  0.0000300
22 0 0.0000000       NaN  0.0885703        NaN 0.0000000       NaN  0.0330440        NaN 0.0000000       NaN  0.0026389        NaN 0.0000000       NaN  0.0005184        NaN 0.0000000       NaN -0.0005234        NaN 0.0000000       NaN  0.0022509        NaN 0.0000000       NaN -0.0030821        NaN 0.0000000       NaN  0.0002566        NaN 0.0000000       NaN  0.0003596        NaN 0.0000000       NaN -0.0004703        NaN 0.0000000       NaN  0.0000517        NaN 0.0000000       NaN -0.0006359        NaN 0.0000000       NaN -0.0087454        NaN 0.0000000       NaN  0.0141233        NaN 0.0000000       NaN  0.0073448        NaN 0.0000000       NaN -0.0003965        NaN 0.0000000       NaN  0.0000634        NaN 0.0000000       NaN  0.0000111        NaN 0.0000000       NaN -0.0000026        NaN
22 1 0.0000000 0.0000000  0.0352941  0.0990327 0.0000000 0.0000000 -0.0023508  0.0096993 0.0000000 0.0000000 -0.0074236 -0.0273817 0.0000000 0.0000000  0.0242843  0.0991585 0.0000000 0.0000000 -0.0035559  0.0003931 0.0000000 0.0000000  0.0155599  0.0313501 0.0000000 0.0000000 -0.0001087  0.0001009 0.0000000 0.0000000  0.0018546  0.0005749 0.0000000 0.0000000  0.0008600 -0.0013216 0.0000000 0.0000000 -0.0000594  0.0001633 0.0000000 0.0000000 -0.0029707 -0.0000341 0.0000000 0.0000000 -0.0006788  0.0003046 0.0000000 0.0000000  0.0069562  0.0174162 0.0000000 0.0000000 -0.0003885 -0.0000749 0.0000000 0.0000000  0.0046399  0.0187152 0.0000000 0.0000000  0.0003163 -0.0001776 0.0000000 0.0000000 -0.0024196  0.0001703 0.0000000 0.0000000 -0.0003063  0.0004126 0.0000000 0.0000000 -0.0017065  0.0000405
22 2 0.0000000 0.0000000  0.0087943  0.0082035 0.0000000 0.0000000 -0.0237295 -0.0043347 0.0000000 0.0000000 -0.0296139 -0.0174289 0.0000000 0.0000000 -0.0117826 -0.0061566 0.0000000 0.0000000  0.0083201 -0.0043744 0.0000000 0.0000000  0.0048229  0.0062483 0.0000000 0.0000000 -0.0002999  0.0041819 0.0000000 0.0000000 -0.0004464  0.0000242 0.0000000 0.0000000  0.0009059  0.0014755 0.0000000 0.0000000  0.0009500  0.0006442 0.0000000 0.0000000  0.0000977 -0.0002364 0.0000000 0.0000000  0.0007642  0.0003321 0.0000000 0.0000000  0.0041511  0.0018753 0.0000000 0.0000000  0.0124460 -0.0056455 0.0000000 0.0000000 -0.0008043 -0.0013527 0.0000000 0.0000000  0.0001366 -0.0003524 0.0000000 0.0000000  0.0001371  0.0000440 0.0000000 0.0000000 -0.0002122 -0.0012283 0.0000000 0.0000000 -0.0001238 -0.0000052
22 3 0.0000000 0.0000000  0.0325428  0.0139808 0.0000000 0.0000000 -0.0023820  0.0017133 0.0000000 0.0000000 -0.0142908 -0.0401095 0.0000000 0.0000000 -0.0114762 -0.0056373 0.0000000 0.0000000  0.0046049  0.0000644 0.0000000 0.0000000  0.0016902  0.0187880 0.0000000 0.0000000 -0.0006200  0.0006766 0.0000000 0.0000000 -0.0001146  0.0001269 0.0000000 0.0000000 -0.0005299 -0.0003944 0.0000000 0.0000000 -0.0002644 -0.0002369 0.0000000 0.0000000  0.0004796 -0.0005416 0.0000000 0.0000000 -0.0001399 -0.0000053 0.0000000 0.0000000  0.0060063  0.0052556 0.0000000 0.0000000  0.0009902  0.0006383 0.0000000 0.0000000 -0.0015581  0.0137578 0.0000000 0.0000000  0.0001282  0.0000238 0.0000000 0.0000000  0.0000978  0.0001117 0.0000000 0.0000000 -0.0000963  0.0000521 0.0000000 0.0000000  0.0001582  0.0001030
23 0 0.0000000       NaN  0.1135440        NaN 0.0000000       NaN  0.0050198        NaN 0.0000000       NaN -0.0219653        NaN 0.0000000       NaN -0.0012096        NaN 0.0000000       NaN -0.0016032        NaN 0.0000000       NaN  0.0069987        NaN 0.0000000       NaN  0.0004288        NaN 0.0000000       NaN  0.0008353        NaN 0.0000000       NaN  0.0002877        NaN 0.0000000       NaN  0.0000548        NaN 0.0000000       NaN  0.0006174        NaN 0.0000000       NaN -0.0000023        NaN 0.0000000       NaN -0.0076114        NaN 0.0000000       NaN -0.0009677        NaN 0.0000000       NaN  0.0141361        NaN 0.0000000       NaN -0.0002240        NaN 0.0000000       NaN  0.0010827        NaN 0.0000000       NaN  0.0001350        NaN 0.0000000       NaN -0.0016808        NaN
23 1 0.0000000 0.0000000 -0.0204621  0.0007417 0.0000000 0.0000000  0.0396214  0.0168974 0.0000000 0.0000000  0.0086803 -0.0111985 0.0000000 0.0000000  0.0055802  0.0066070 0.0000000 0.0000000 -0.0643699 -0.0049195 0.0000000 0.0000000 -0.0032584  0.0038469 0.0000000 0.0000000  0.0004593  0.0052219 0.0000000 0.0000000 -0.0004106 -0.0001425 0.0000000 0.0000000 -0.0004950 -0.0013485 0.0000000 0.0000000 -0.0006814  0.0012630 0.0000000 0.0000000 -0.0001023 -0.0001119 0.0000000 0.0000000 -0.0001362  0.0004293 0.0000000 0.0000000  0.0011575 -0.0013078 0.0000000 0.0000000 -0.0511714  0.0036460 0.0000000 0.0000000  0.0004269  0.0051781 0.0000000 0.0000000  0.0003921  0.0005377 0.0000000 0.0000000  0.0000244  0.0001285 0.0000000 0.0000000 -0.0001670  0.0006551 0.0000000 0.0000000 -0.0000826  0.0001471
